,Unit,Turn,B4,B2
5,"I may have in passing, but could you tell me more information about it?",2,1,20180904-154250_98_live
6,Save the Children is a non-governmental organization that operations world wide raising funds through partners and donations to fight for children's rights and provide relief and support for children in developing countires. ,3,0,20180904-154250_98_live
7,Sounds interesting and something worth donating towards a good cause. Would you donate to this fund?,3,1,20180904-154250_98_live
8,I would and I have!  9 out of every 10 dollars goes directly to a child in need. ,4,0,20180904-154250_98_live
9,That is great to know. Any additional information you could tell me about the Save the Children program?,4,1,20180904-154250_98_live
10,"Absolutely!  There are a variety of ways to be a part of the program outside of donations.  They have a program to sponsor a child in need, you can throw a fundraising event or participate in events such as triatholons to raise funds, or help advocate for children.  ",5,0,20180904-154250_98_live
11,Thank you for the information. What is the best way I could get involved with this charity?,5,1,20180904-154250_98_live
12,You are more than welcome to donate today and your donation will be sent to Save the Children to go towards programs that help the children directly.  ,6,0,20180904-154250_98_live
13,Great. How much are the donations?,6,1,20180904-154250_98_live
14,"You can donate up to two dollars of your payment, but more is always appreciated! ",7,0,20180904-154250_98_live
15,Alright. $2 sounds good enough. Could I get a web address to the fund if I have any more questions?,7,1,20180904-154250_98_live
16,Thank you so much for you generous donation!  To answer any more questions the link is  URL ,8,0,20180904-154250_98_live
17,Thanks you. I will be more than glad to donate.,8,1,20180904-154250_98_live
18,You're welcome and thank you!  Have a great rest of your evening!,9,0,20180904-154250_98_live
19,thank you. you too.,9,1,20180904-154250_98_live
0,"Hi, how are you today?",0,0,20180904-024226_703_live
1,I am fine. And you?,0,1,20180904-024226_703_live
2,Not too bad :) Have you heard of Save The Children?,1,0,20180904-024226_703_live
3,"I have, actually.",1,1,20180904-024226_703_live
4,They do greeat work at least I think what about you?,2,0,20180904-024226_703_live
5,I'm often skeptical of big charities like that. They sometimes don't put the money that is donated into the right projects.,2,1,20180904-024226_703_live
6,I know normally I am too but I was convinced to research them once by a very giving friend and I found that they do a lot of awesome work and a big majority if not all donations go back into the charity and lining someones pocket,3,0,20180904-024226_703_live
7,"I have just done some quick research and am inclined to donate when I have the opportunity. If a charity is doing good work to feed the hungry, I will give what I have to spare.",3,1,20180904-024226_703_live
8,"hehe, I meant rather then lining someones pocket....So do I have your commitment to donating some today at the end of the HIT?",4,0,20180904-024226_703_live
9,"I don't really have anything to give right now, but I will donate at another time when I have steady income.",4,1,20180904-024226_703_live
10,They give you an option at the end of the HIT to donate even 0.01 would be very helpful....a penny couldn't hurt could it?,5,0,20180904-024226_703_live
11,"I suppose not. I mean, a penny is nothing in the grand scheme of things. If I have a chance to donate when I'm a bit more financially stable, I will donate more. Right now, I think I can spare a penny. :)",5,1,20180904-024226_703_live
12,"Good, and I'll match and times it by five and now we'll have donated 0.06",6,0,20180904-024226_703_live
13,Alright. Will the penny be taken from my mturk account? That would be the most convenient thing for me.,6,1,20180904-024226_703_live
14,"yes, it'l be taken from your bonus and you won't even notice it missing to be honest.... good karma.... maybe you'll be lucky today ;)",7,0,20180904-024226_703_live
15,"Well, thank you for wishing me well. May your days be pleasant, as well.",7,1,20180904-024226_703_live
16,how's the weather?,8,0,20180904-024226_703_live
17,Warm and rainy here.,8,1,20180904-024226_703_live
18,it's warm but not rainy that I know of,9,0,20180904-024226_703_live
19,"Hurricane season is upon us, so I'm keeping a really close eye on that.",9,1,20180904-024226_703_live
0,"Hi, my name is Nicole how are you today?",0,0,20180904-100019_870_live
1,"Hid nicole, I'm Ted. I am good and you?",0,1,20180904-100019_870_live
2,"Wonderful Ted, I m pretty good myself",1,0,20180904-100019_870_live
3,How was your labor day?,1,1,20180904-100019_870_live
4,You know it was pretty laid back....my family chose a seafood theme for dinnera this year... how did your day go?,2,0,20180904-100019_870_live
5,"I jus bbq'd with my family, It was nice",2,1,20180904-100019_870_live
6,Awesome...just spending time together is a wonderful opportunity not enough people take advantage of anymore.,3,0,20180904-100019_870_live
7,With our busy lives you have to take advantage when you can,3,1,20180904-100019_870_live
8,You are absolutely right... with the holidays eason approaching I always try to locate an organization for my family to actively help raise money or conduct fundraisers for diffetent supplies and such they will need throughout the year,4,0,20180904-100019_870_live
9,donating money and time is important,4,1,20180904-100019_870_live
10,We just finished a donation drive to provide supplies for teachers... and decided to stick with helping organizations and persons assisting kids... one of which is Save the Children,5,0,20180904-100019_870_live
11,Do you have a website I can look at?,5,1,20180904-100019_870_live
12,"Absolutely  URL ....it's non-goverment organization that promote's the rights of children for aide with health, education, their overall wellbeing and safety",6,0,20180904-100019_870_live
13,"Looks like a good cause, I like how they also donate to border children in the US.  I would consider a donation",6,1,20180904-100019_870_live
14,Absolutely.... I love their purpose and Im looking forward to gelpibg as much as possible ... a donation would be wonserful,7,0,20180904-100019_870_live
15,Would a dollar help?  I think half my payout would be good.,7,1,20180904-100019_870_live
16,Absolutely....that would be greatly appreciates...every dollar counts towards success,8,0,20180904-100019_870_live
17,"I enjoy helping, especially children",8,1,20180904-100019_870_live
18,"Awww, thank you so mich... more amazingly selfless people are needed in the world",9,0,20180904-100019_870_live
19,It takes everyone helping where they can.  Have a great day,9,1,20180904-100019_870_live
20,Your right....if we all do alittle it makea a major impact.... you have a wonderful day and continue being great....thanks again,10,0,20180904-100019_870_live
0, Given to the needed and less privileged in our society makes a better world ,0,0,20180904-001208_706_live
1,"Hello, how are you. yes that's right",0,1,20180904-001208_706_live
2,i am very fine and would want to know if you have considered  giving to support a good course before.... ,1,0,20180904-001208_706_live
3,I donated through HITs. what is this organization about?,1,1,20180904-001208_706_live
4,Smile first or First Smile ...this is non governmental organisation established by Snipess Jessey Armah to help put a smile on the face of children in west Africa  ,2,0,20180904-001208_706_live
5,I thought thin HIT belongs to Save the Children. It is smile first for first smile now?,2,1,20180904-001208_706_live
6,well All for a good Course i will give and never regret it.....if donations are giving for the  helped  needed any where in the world i do not really mind how about you...?,3,0,20180904-001208_706_live
7,I know but I want to know where my donation to this HIT goes and I wanna know about the organization,3,1,20180904-001208_706_live
8,this donation is purposefully for Save the Children ,4,0,20180904-001208_706_live
9,"okay so please tell me more about ""Save the Children"" is it an international charity?",4,1,20180904-001208_706_live
10,yes this is an international Children Charity organisation ,5,0,20180904-001208_706_live
11,"in how many countries do they work, what are the main issues they work on?",5,1,20180904-001208_706_live
12,"this organisation cut accross 12 countries like India, Mexico , Libya , Ghana among many other Countries ....but the main goal is that  we put nutritious amount of food on the table for this children  some part of this donations also is water and Clothing  and more of this goes females to have sanitary pads among other useful  domestic needs  ",6,0,20180904-001208_706_live
13,That is interesting. Is it possible to join them in person? and help them?,6,1,20180904-001208_706_live
14,"yes , your help in any other way is possible .",7,0,20180904-001208_706_live
15,is there any big company cooperating with them?,7,1,20180904-001208_706_live
16,none that i know of but trust me you and i and the world as a whole is the Big Company we are each others keeper that is why we are asking you to make a change when you look in that mirror starting with you the person you see in the mirror by doing so we are closer than a brother or a sister to one another  ,8,0,20180904-001208_706_live
17,"I will donate anyway, it's okay. IKEA and Disney cooperate with them and I know a little help can make a difference",8,1,20180904-001208_706_live
18,thank you so much for the Faith and the good heart of yours we are closer than a brother or sister we are each others keeper...Smile First or First Smile...thank you,9,0,20180904-001208_706_live
19,"thanks, sure I will donate ",9,1,20180904-001208_706_live
20,thank you once again indeed the world can be a better place through Donations a little kindness at a time.....SMILE FIRST OR FIRST SMILE,10,0,20180904-001208_706_live
0,Good morning.,0,0,20180904-073734_888_live
1,"Good morning, how are you doing?",0,1,20180904-073734_888_live
2,"I'm great, thank you for asking! Do you have some time today to talk about an amazing charity I am part of?",1,0,20180904-073734_888_live
3,"Sure, I'd love to hear what charity you participate in",1,1,20180904-073734_888_live
4,"It's called Save the Children and we work towards helping disadvantaged children around the world have adequate food, shelter and healthcare.",2,0,20180904-073734_888_live
5,Sounds wonderful! Do you only work in the US?,2,1,20180904-073734_888_live
6,"Great question. No, we work all around the world, wherever our help is needed.",3,0,20180904-073734_888_live
7,"What a great charity, is there anything I can do to help?",3,1,20180904-073734_888_live
8,"Absolutely, we are always looking for individuals who are willing to contribute to the cause.",4,0,20180904-073734_888_live
9,How much are you looking for?,4,1,20180904-073734_888_live
10,A donation of just $1 can help feed a child for 5 days.,5,0,20180904-073734_888_live
11,"And specifically, where does that money go towards?",5,1,20180904-073734_888_live
12,The money goes towards providing meals and clean water.,6,0,20180904-073734_888_live
13,I'd be interested in donating to your cause,6,1,20180904-073734_888_live
14,That's great! Thank you very much for your donation!,7,0,20180904-073734_888_live
15,Happy to be able to help such a worthy cause!,7,1,20180904-073734_888_live
16,The research team will collect all donations and send it to Save the Children.,8,0,20180904-073734_888_live
17,One last question - are all members who help volunteer based?,8,1,20180904-073734_888_live
18,"We do maintain support staff in country who are paid a living wage, but the rest of our staff are volunteers.",9,0,20180904-073734_888_live
19,Great! Thanks so much and I'm just so happy to be able to donate,9,1,20180904-073734_888_live
0,Hello how are you today?,0,0,20180904-133536_2_live
1,"Hi, good thanks. How about you?",0,1,20180904-133536_2_live
2,"Good thank you for asking, have you ever donated to charity?",1,0,20180904-133536_2_live
3,"I have, many times actually!",1,1,20180904-133536_2_live
4,"Great, have you heard of the Save the Children Charity?",2,0,20180904-133536_2_live
5,I'm not sure. The name sounds vaguely familiar. ,2,1,20180904-133536_2_live
6,"Okay, let me inform you. Save the Children is a foundation that helps children all across the world. There are many children that are in major need of help. ",3,0,20180904-133536_2_live
7,"Oh, nice. What kind of things do they for kids?",3,1,20180904-133536_2_live
8,"Helps feed, clothe and provides shelter for children who are in need. Millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence. ",4,0,20180904-133536_2_live
9,So the charity helped the Syrian children?,4,1,20180904-133536_2_live
10,Oh yes and others all over the globe. Would you donate to this charity today?,5,0,20180904-133536_2_live
11,"Yeah, maybe so. Can i donate part of the $0.30 from this HIT or do I have to go to their website?",5,1,20180904-133536_2_live
12,You can donate the $0.30 form this hit every penny helps. ,6,0,20180904-133536_2_live
13,"Okay, sounds good. If you don't mind, I'll donate half, so how about $0.15?",6,1,20180904-133536_2_live
14,Okay that is great. We appreciate your donation. Knowing that you are willing to help says a lot. ,7,0,20180904-133536_2_live
15,No problem. Sorry it's not more. Do you know how I donate? Do I need to fill in a form or something?,7,1,20180904-133536_2_live
16,"Like I stated before every penny helps thank you. The donation will be deducted from your pay for this hit. No forms, no sign ups.",8,0,20180904-133536_2_live
17,Simple enough. Thanks so much for telling me about the Charity!,8,1,20180904-133536_2_live
18,Your welcome have a nice day.,9,0,20180904-133536_2_live
19,Hey thanks. You too!,9,1,20180904-133536_2_live
0,Hey! How are you doing this evening?,0,0,20180904-151909_144_live
1,"im good thank you, you?",0,1,20180904-151909_144_live
2,I'm doing pretty good.,1,0,20180904-151909_144_live
3,what will you talk to me about today? whats the issue?,1,1,20180904-151909_144_live
4,Have you ever heard of the charity Save the Children?,2,0,20180904-151909_144_live
5,yes i think i have heard of it.,2,1,20180904-151909_144_live
6,"They're a great non-governmental organization that promotes children's rights, and support in developing countries.",3,0,20180904-151909_144_live
7,"wow very cool, do they help in USA  too?",3,1,20180904-151909_144_live
8,"They help all over the world, wherever there is a need.",4,0,20180904-151909_144_live
9,how many childs they help in a year?,4,1,20180904-151909_144_live
10,They helps thousands of children each year. They're funded by public donations. Would you like to donate some or all of your earnings today?,5,0,20180904-151909_144_live
11,"yes i would but i have to ask, do my donation goes really for the children or just someone use thet for themselves ",5,1,20180904-151909_144_live
12,"It goes to the children, the research team collects all donations and sends it to Save the Children.",6,0,20180904-151909_144_live
13,so you are saying that they have transparency ?,6,1,20180904-151909_144_live
14,Absolutely. You can check out  URL for yourself to learn about some of their efforts.,7,0,20180904-151909_144_live
15,"thank you for the info, i will visit the page. i would like to donate $0.5",7,1,20180904-151909_144_live
16,"That's great! Every bit helps, I will match your donation myself.",8,0,20180904-151909_144_live
17,maybe we can really save a child with our donations.,8,1,20180904-151909_144_live
18,I think we can. Any bit helps.,9,0,20180904-151909_144_live
19,"i will go donate now, thank you",9,1,20180904-151909_144_live
0,"Hi, how are you?",0,0,20180904-090422_355_live
1,"I'm great today, hope you are too.  It's raining here.",0,1,20180904-090422_355_live
2,"Oh cool, I like rain. I'm good. It's really sunny here. ",1,0,20180904-090422_355_live
3,"Oh nice, it's usually super humid and hot outside here but the rain has made it cool down and that is so nice.",1,1,20180904-090422_355_live
4,It's like that here too in the summer. We should be getting a lot of rain soon because of a tropical storm coming up,2,0,20180904-090422_355_live
5,"That is what we are getting now, you must be close to the Gulf of Mexico also.  Do you normally work online? I do.",2,1,20180904-090422_355_live
6,"I have a part-time job in the real world but I do some online stuff on the side. I'm actually in the northeast part of the country, but when there's a big storm down south we get some of the effects of it. But I hope it doesn't get too bad where you are, it seems like storms get worse and worse every year.",3,0,20180904-090422_355_live
7,"True, they are.  The climate change is due to people I feel.  Like not recycling properly, did you know that there is a giant plastic glob out in the ocean from people throwing away tons of plastic stuff?  It's sad.",3,1,20180904-090422_355_live
8,"Wow I didn't know that, that's pretty gross. Yeah climate change is pretty crazy. And people don't even realize the impact it has on human beings, like the weather and pollution is really affecting agriculture and making it harder to grow crops. And there's all the damage from storms of course, people still struggling months and months after hurricanes.",4,0,20180904-090422_355_live
9,"We were affected by hurricane Harvey and that took months to recover from.  I became Vegan about 2 years ago and since then, it has made me more aware of our environment and the care of animals. I did it for health reasons but it became more than just that for me.",4,1,20180904-090422_355_live
10,"Oh cool I'm vegan too actually. It was the same for me, I made the switch to reduce cancer risk since there's a lot of that in my family, but eventually it became an environmental/animal rights thing. I've been vegan for about 6 years and was vegetarian for about 5 before that. I'm so sorry to hear hurricane Harvey affected you. Were there any government programs or non-profits that helped you to recover?",5,0,20180904-090422_355_live
11,"Yes, the government program actually helped us tremendously. I changed to a Vegan diet due to a Cancer risk as well, every woman but me in my family has had some type of cancer. I actually have converted my elderly mother to a Vegan diet over the last year, she's doing great!",5,1,20180904-090422_355_live
12,"Wow that's really great to hear! My parents won't go vegan or vegetarian themselves but have definitely started making healthier choices since I went vegan. I guess every little effort helps, right? And that's really good to know you got help when you needed it. There's a charity called Save the Children that's still helping kids in Texas fully recover from Harvey. You can actually donate a small amount from your task payment today to support them. Would you be interested in helping them out?",6,0,20180904-090422_355_live
13,"Yes every little bit does help, the saying ""You plant a seed....."" applies.  Yes i\'ve heard of Save the Children, i would love to donate some of my earning to them, yes.",6,1,20180904-090422_355_live
14,"Awesome, how much would you like to donate? You can pick any amount and it will be deducted from your task payment.",7,0,20180904-090422_355_live
15,"I will donate 1.00 to Save the Children, which is half of my earnings.  Thank you!",7,1,20180904-090422_355_live
16,"That's really great, thank you! Can I ask how you first heard about Save the Children?",8,0,20180904-090422_355_live
17,I think it was on television.  They did a like a 30 minute show to bring awareness to the Charity.  They are a very good charity.  I'm not able to conceive a child so I would love helping other people children in need.,8,1,20180904-090422_355_live
18,"Wow yeah, that's a really great way to pay it forward if you aren't able to have kids yourself. Well thank you again for your donation, I'm glad this charity has your support.",9,0,20180904-090422_355_live
19,Thank you for the great conversation and for telling me about the charity helping Texas children. ,9,1,20180904-090422_355_live
0,Hello there,0,0,20180904-054911_684_live
1,hi,0,1,20180904-054911_684_live
2,"By any chance, do you donate to charities or do some volunteer work for charities?",1,0,20180904-054911_684_live
3,"I donate every once in a while. I would like to volunteer, but haven't had the time to do so. How about you?",1,1,20180904-054911_684_live
4,I have done some volunteer work for Red Cross in the past and donate on a regular basis to health-related charities.,2,0,20180904-054911_684_live
5,"Wow! That's great! I have mainly donated to local charities. For example, one of the students at my daughter's school has leukemia and the town made donations to help out. ",2,1,20180904-054911_684_live
6,That is inspiring. Have you ever heard of a charity called Save the Children?,3,0,20180904-054911_684_live
7,"It sounds maybe familiar, but I'm not too sure. What do they do exactly?",3,1,20180904-054911_684_live
8,"It is is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",4,0,20180904-054911_684_live
9,That sounds like a good charity. I prefer to keep things closer to home though. ,4,1,20180904-054911_684_live
10,They help children all over the world and run a very efficient operations with nearly 90 percent of all donations going directly to help the children which is much better than many other charities.,5,0,20180904-054911_684_live
11,"Nice. Yes, there are many charities who use a lot of the funds for administrative and other costs. ",5,1,20180904-054911_684_live
12,Save the Children isn't like that.  They are really committed to their mission of helping children. ,6,0,20180904-054911_684_live
13,That is good to know. ,6,1,20180904-054911_684_live
14,"Would you be willing to donate to Save the Children?  If so, how much would you like to donate to the charity now?  Your donation will be directly deducted from your task payment.  You can choose any amount from $0 to all your payment ($2). ",7,0,20180904-054911_684_live
15,"At this time I am focused on my local community, but I would be willing to donate 10 cents to this charity.",7,1,20180904-054911_684_live
16,That's great because every donation helps.  Thanks very much. ,8,0,20180904-054911_684_live
17,I appreciate you telling me more about Save the Children,8,1,20180904-054911_684_live
18,You are welcome.  It is a great cause for sure. ,9,0,20180904-054911_684_live
19,Hope you have a great day!,9,1,20180904-054911_684_live
0,"hello, what you think about charities?",0,0,20180904-052026_52_live
1,"In general I'm in favor of them.  I don't think they can completely replace governmental assistance, and there are some that are better than others (both in the sense that they align more closely with my beliefs and values, and in the sense that they're well-run and actually assist the causes they claim to).",0,1,20180904-052026_52_live
2,do you ever gave money to a charity?,1,0,20180904-052026_52_live
3,Yes I do.,1,1,20180904-052026_52_live
4,what kind of charity was that?,2,0,20180904-052026_52_live
5,"Environmental charities, charities that assist people going through difficult times, and charities that try to improve society.",2,1,20180904-052026_52_live
6,"very good, they are important in our society. i want to talk you about this charity i represent.",3,0,20180904-052026_52_live
7,"Okay, tell me more.",3,1,20180904-052026_52_live
8,"tis charity is called, save the children, they are nationwide , do you want more info?",4,0,20180904-052026_52_live
9,"Yes, more info please.",4,1,20180904-052026_52_live
10,"they help children and provide them shelter, food, medical care and school.they do other things too",5,0,20180904-052026_52_live
11,Those are great goals.,5,1,20180904-052026_52_live
12,they now are helping Hawaii with the hurricane.,6,0,20180904-052026_52_live
13,That's really great.,6,1,20180904-052026_52_live
14,"they help 2 million children every year, and they are great.",7,0,20180904-052026_52_live
15,"Okay, tell me more.",7,1,20180904-052026_52_live
16,now i just have to ask you are you willing to donate today?,8,0,20180904-052026_52_live
17,"Okay, I'll donate.",8,1,20180904-052026_52_live
18,"thank you very much, how much are you willing to donate? from 0.1 to $2 is the max amount.",9,0,20180904-052026_52_live
19,"Two quick questions: 1) What specifically will the donation be used for (medical supplies, food aid, rebuilding after the hurricane, etc.)?  And 2) How is the donation processed?  Is it just taken directly from my HIT wallet?",9,1,20180904-052026_52_live
20,"first is for all that and you can pay after the hit , your payment can be done with the bonus you take from this hit. thank you",10,0,20180904-052026_52_live
21,OK.  I'll donate $1.50,10,1,20180904-052026_52_live
0,Hey! How are you?,0,0,20180904-091237_363_live
1,"I am fine, and you?",0,1,20180904-091237_363_live
2,Doing really well. I was curious if you have any particular charities that you admire or donate to.,1,0,20180904-091237_363_live
3,No none in particular,1,1,20180904-091237_363_live
4,"I've got a couple that I am interested in but sometimes I wonder if the money goes where they say, you know?",2,0,20180904-091237_363_live
5,"Yea that is exactly how I feel as well, I like helping out but I dont want it to be in vain",2,1,20180904-091237_363_live
6,"I did a survey on here a while back that laid out a couple charities really thoroughly and then offered to let me give up some of my ""reward"" for the survey to the charity. I thought it was an interesting idea. Plus sometimes I\'m just lazy and that\'s an easy uncomplicated way to do it.",3,0,20180904-091237_363_live
7,"Yes, i do like that concept. However, I often wonder what a big difference it would really make",3,1,20180904-091237_363_live
8,Remember that ice bucket challenge thing that was super popular a while back? I thought it was fun but wouldn't do anything productive. Turns out they raised so much money it some drug trial through and they've found a drug that helps and is now on the market and that just blew me away. Downside of course is people still have to part with money they already had. I donated some of my reward to the charity because it wasn't really out of my pocket and I guess I figured every little bit might help.,4,0,20180904-091237_363_live
9,"Oh wow, I never knew that! That is amazing what a difference we can make without thinking it would really make one",4,1,20180904-091237_363_live
10,I know and besides it got my son to dump a bucket of ice water on himself which was just hilarious.,5,0,20180904-091237_363_live
11,"That is funny! Honestly, before the challenge I never even heard about ALS, so I guess it did its job by spreading awareness",5,1,20180904-091237_363_live
12,That's really true. Maybe on top of people not wanting the rigamarole of the donation process sometimes all we need is a better understanding of the need or just faith that a little from everyone can go a long way. ,6,0,20180904-091237_363_live
13,"Yea, maybe more challenges can be done to spread awareness to diseases that often go unnoticed or unheard of",6,1,20180904-091237_363_live
14,"Yeah, maybe, people just need information, ease of donating, and a sense of community about it all. This HIT we are doing is kind of doing the same thing as that other survey I did. We both get our base pay and then can choose to keep the added incentive or donate a portion of it to the charity Save the Children. I was contemplating giving some of mine away. I've worked overseas with kids through medical clinics and have seen how far what we think of as a small amount of money can really go.",7,0,20180904-091237_363_live
15,"Yes, I am willing to donate a portion to the charity",7,1,20180904-091237_363_live
16,I was going to donate half of mine. Some for me for the work and some for them in the hopes it helps.  How much would you like to donate to Save the Children out of the payment?,8,0,20180904-091237_363_live
17,Yes I would like to donate .75 towards the foundation,8,1,20180904-091237_363_live
18,"Brilliant. That's so kind of you. Between us both I hope it helps. And I love that they are giving their money to something other than profit, you know?",9,0,20180904-091237_363_live
19,Yes! Hope it helps the children in some type of way,9,1,20180904-091237_363_live
0,Hello how are you doing today?,0,0,20180904-090242_588_live
1,I am doing just fine. How about you?,0,1,20180904-090242_588_live
2,I am doing wonderful thank you for asking. Where you are from? I'm originally from Maine.,1,0,20180904-090242_588_live
3,I am currently living in Florida but I grew up in upstate New York.,1,1,20180904-090242_588_live
4,"I've always wanted to visit Florida. I love helping out with various charities and the like, are there any good charities in Florida that you are involved in?",2,0,20180904-090242_588_live
5,There are few but I am not heavily involved  with them.,2,1,20180904-090242_588_live
6,That's good that there are some. I like to get involved becaue I like to feel like I might be helping out in some way. I love helping out with animal groups and groups that help out disadvantaged children. Have you ever heard of the Save the Children organization? Would you ever consider donating to a charity like that?,3,0,20180904-090242_588_live
7,I have heard of that group but I have never really thought about donating to it.,3,1,20180904-090242_588_live
8,"They're a great group, they're an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries. I like to donate a little bit to them from time to time, not much mind you, I don't really have or make a lot of money, but it's nice knowing I can contribute at least a little something. Anything that can help. Sometimes it can really brighten my day knowing I might have helped someone. Would you consider making a small donation from a portion of the HIT completion compensation, something as little as .10 cents?",4,0,20180904-090242_588_live
9,"Yes, I can make a small donation. I will do $0.20.",4,1,20180904-090242_588_live
10,"That would be awesome! Anything from $0.10, $0.20, $2.00... anything would make a difference with this wonderful organization. Every contribution counts. You're helping make a difference in a child's life an helping to end suffering. Thank you for your generosity!",5,0,20180904-090242_588_live
11,Glad to donate the charity,5,1,20180904-090242_588_live
12,"I will match your donation of $0.20, making it a donation of $0.40, that way it mill go further. It's always great to help out when you can. Thank you again for your pledge of $0.20, it is greatly appreciated.",6,0,20180904-090242_588_live
13,"Your welcome, have you been a MTurker for a while? ",6,1,20180904-090242_588_live
14,"I have, I have been one for about 2 years now. I come on every once and a while and do it part time. I like to call it picking up nickels and dimes. How about yourself?",7,0,20180904-090242_588_live
15,I have been doing it since January. I find some these HITs very interesting.,7,1,20180904-090242_588_live
16,"Yeah, they can be really fun and fascinating. I ike doing some of theses surveys then hearing the results later on, passively, since I don\'t really know at the time of doing them what they\'re for really. It\'s fun to say, ""Hey, I participated in that study""",8,0,20180904-090242_588_live
17,Yeah I like doing the Product review type HITs and the ones where you have to watch a video  ,8,1,20180904-090242_588_live
18,Those are pretty good. My favorite one so far has been recording my voice saying various words for a study on accents in speech. Then hearing the results on a news story about 6 months later... pretty satisfying.,9,0,20180904-090242_588_live
19,That sounds interesting. I try to do between 5 and 10 hits a day.,9,1,20180904-090242_588_live
20,"Coll talking to you, thanks for doing this hit with me today. It was awesome!",10,0,20180904-090242_588_live
21,"Your welcome, maybe will do this again on some other HIT",10,1,20180904-090242_588_live
0,Howdy! How are you today?,0,0,20180904-083727_564_live
1,Hey I'm great! How are you today?,0,1,20180904-083727_564_live
2,"I'm well. Waiting for the summer heat to die down, though it's nicely dying, LOL. What part of the world are you in?",1,0,20180904-083727_564_live
3,"I hear that! I'm in Georgia, USA. It's super humid today. How about you?",1,1,20180904-083727_564_live
4,"Oh wow, I used to live in Atlanta. I'm in Pennsylvania. Yesterday was humid, and I still haven't stepped outside today. Still in the AC!",2,0,20180904-083727_564_live
5,"I'm originally from NYC. My friends back at home were telling me that it has been particularly hot these past few days. The temperature down here has been rather lower than usual, but the humidity is high!",2,1,20180904-083727_564_live
6,"Oh wow, I used to live in Jersey City, which is a ride away from NYC. So cool. I went to school there from nonprofit management, and ironically I'm working with a group called Save The Children. It's an org that provides basic assistance to children around the world with necessities needed to live. Ones we often take for granted in the states. We're currently seeking donations up to $2. Are you interested in giving back a bit of $$? It could do so much good in the life of a hungry, neglected, or abused child. ",3,0,20180904-083727_564_live
7,"I wish I could! For right now, this is my only source of income, and I have a 5 month old infant to feed. In the future, I will give back double, but for now he and I need all the help we can get.",3,1,20180904-083727_564_live
8,"Oh wow. Do you have a boy or a girl? I totally understand your position. Again, no amount is too small. One penny donated from your earnings could do a lot of good in the 3rd world. I'll match whatever you decide to give. I'm not floating in money either, but to me this is worth it. Let me know.",4,0,20180904-083727_564_live
9,"A little boy, my first. I will donate $.25. During our difficult time, I can still spare some money to help another. I can only hope that will help, and maybe we will have some good karma! His dad was working, but was in a car accident and now he's still in the hospital in Jacksonville, FL recovering.",4,1,20180904-083727_564_live
10,"Well total congrats to you on new mother! And thank you so much for your donation! I will of course match that $.25. I think $.50 from the both us us can go a long way. Every little bit counts. I believe in karma as well. Is the father of your child expected to recover soon and be released. That is so terrible. For anyone, but especially a new dad. You totally have my prayers and positive energy.",5,0,20180904-083727_564_live
