,B2,B4,Turn,Unit,label,er_label_1,ee_label_1,label_inter,neg,neu,pos,history,his_stem,Unit_char,Index
51,20180723-080248_452_live,0,5,you can help save children like that boy by donating to Save the Children,4,propose-donation,,non-strategy,0.0,0.46299999999999997,0.537,so sad. How can i help?,sad help,you can help save children like that boy by donating to Save the Children,51
52,20180723-080248_452_live,0,6,This charity is one of the most top rated in the world. You can also check out their website to see for yourself  URL,0,provide-org-facts,,provide-org-facts,0.0,0.818,0.182,how do i know money will go to children and it's not a scam?,know money go children scam,This charity is one of the most top rated in the world. You can also check out their website to see for yourself  URL,52
53,20180723-080248_452_live,0,7,sure!,4,acknowledgement,,non-strategy,0.0,0.0,1.0,"great, let me check it out",great let check,sure!,53
54,20180723-080248_452_live,0,8,yes! You see?,4,acknowledgement,,non-strategy,0.0,0.401,0.599,so i like that 86% is going to the cause.,like    go caus,yes! You see?,54
55,20180723-080248_452_live,0,8,This charity is credible and people who work for it are professionals and have big hearts.,0,provide-org-facts,,provide-org-facts,0.0,0.843,0.157,so i like that 86% is going to the cause.,like    go caus,This charity is credible and people who work for it are professionals and have big hearts.,55
56,20180723-080248_452_live,0,8,would you like to donate and save the children?,4,propose-donation,,non-strategy,0.0,0.551,0.449,so i like that 86% is going to the cause.,like    go caus,would you like to donate and save the children?,56
57,20180723-080248_452_live,0,9,you can donate as much as 2$ or as little as couple of cents.,7,foot-in-the-door,,foot-in-the-door,0.0,1.0,0.0,I probably will. Is there a minimum i can donate?,probabl minimum donat,you can donate as much as 2$ or as little as couple of cents.,57
58,20180723-080248_452_live,0,9,I encourage you to donate as much as you can,4,propose-donation,,non-strategy,0.0,0.708,0.292,I probably will. Is there a minimum i can donate?,probabl minimum donat,I encourage you to donate as much as you can,58
59,20180723-100140_767_live,0,0,"You know a lot of children in this world go through hardships, and your destiny is determined on where you are born?",9,emotion-appeal,,emotion-appeal,0.0,0.893,0.107,<Start>,start,"You know a lot of children in this world go through hardships, and your destiny is determined on where you are born?",59
60,20180723-100140_767_live,0,1,"Yeah, so the chances of being born in the United States are very low, but you and I could have been born in a third world country where children are exploited",9,emotion-appeal,,emotion-appeal,0.16399999999999998,0.691,0.145,I guess that is true. I have never thought about destiny being determined by where you are born though.,guess true never thought destini determin born though,"Yeah, so the chances of being born in the United States are very low, but you and I could have been born in a third world country where children are exploited",60
61,20180723-100140_767_live,0,2,"Yes of course, especially when the world is how it is today, and do you remember the debate about Kony in 2012?",2,task-related-inquiry,,task-related-inquiry,0.0,0.8859999999999999,0.114,That really is terrible to think about. We are pretty lucky to have been born in the United States.,realli terribl think pretti lucki born unit state,"Yes of course, especially when the world is how it is today, and do you remember the debate about Kony in 2012?",61
64,20180723-100140_767_live,0,3,It's called Save The Children and it's really helpful for kids who aren't as lucky as us and are born in countries that are ravaged by war.,0,provide-org-facts,,provide-org-facts,0.175,0.647,0.177,I don't really remember much about it but I know the basics,nt realli rememb much know basic,It's called Save The Children and it's really helpful for kids who aren't as lucky as us and are born in countries that are ravaged by war.,64
65,20180723-100140_767_live,0,4,"Yes so what it is is that it's a charity that has international impact, for example where there is lack of support like Syria. In the first two months of 2018, 1,000 children were killed or injured in the violence in Syria. We help with medical costs and funding volunteers.",0,provide-org-facts,,provide-org-facts,0.203,0.597,0.2,Is this a legit charity? Do you have personal experience?,legit chariti person experi,"Yes so what it is is that it's a charity that has international impact, for example where there is lack of support like Syria. In the first two months of 2018, 1,000 children were killed or injured in the violence in Syria. We help with medical costs and funding volunteers.",65
66,20180723-100140_767_live,0,5,Anything between 10 to 50 cents helps.,7,foot-in-the-door,,foot-in-the-door,0.0,0.698,0.302,That sounds important. How much of a donation are you looking for?,sound import much donat look,Anything between 10 to 50 cents helps.,66
67,20180723-100140_767_live,0,6,"Okay thank you, the charity really appreciates your donation today and thanks you, how much would you like to do?",4,ask-donation-amount,,non-strategy,0.0,0.46399999999999997,0.536,That seems reasonable. Yes I would like to make a donation.,seem reason yes would like make donat,"Okay thank you, the charity really appreciates your donation today and thanks you, how much would you like to do?",67
68,20180723-100140_767_live,0,7,Wow thank you!,4,thank,,non-strategy,0.0,0.132,0.868,I can $1 today,   today,Wow thank you!,68
69,20180723-100140_767_live,0,7,Just think of everyone who could donate a dollar and help kids in other countries little by little. You're an awesome person.,6,logical-appeal,,logical-appeal,0.0,0.7440000000000001,0.256,I can $1 today,   today,Just think of everyone who could donate a dollar and help kids in other countries little by little. You're an awesome person.,69
70,20180723-100140_767_live,0,8,"Maybe next time you hear about the charity, or if someone asks you to donate something, just give a little each time.",7,foot-in-the-door,,foot-in-the-door,0.0,0.877,0.12300000000000001,No problem! I wish I could do more.,problem wish could,"Maybe next time you hear about the charity, or if someone asks you to donate something, just give a little each time.",70
71,20180723-100140_767_live,0,9,Thank you!,4,thank,,non-strategy,0.0,0.264,0.736,That is a good idea. I will also tell others about this charity.,good idea tell other chariti,Thank you!,71
72,20180723-100140_767_live,0,9,Have a great Monday!,4,closing,,non-strategy,0.0,0.313,0.687,That is a good idea. I will also tell others about this charity.,good idea tell other chariti,Have a great Monday!,72
73,20180723-100855_385_live,0,0,Hi... how are you today?,4,greeting,,non-strategy,0.0,1.0,0.0,<Start>,start,Hi... how are you today?,73
75,20180723-100855_385_live,0,0,Have you heard of it?,5,have-you-heard-of-the-org,,have-you-heard-of-the-org,0.0,1.0,0.0,<Start>,start,Have you heard of it?,75
76,20180723-100855_385_live,0,1,Im fine thank you.,4,greeting,,non-strategy,0.0,0.317,0.6829999999999999,im doing well! How about you? I have heard about it but would love to learn more about it,well heard would love learn,Im fine thank you.,76
77,20180723-100855_385_live,0,1,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",0,provide-org-facts,,provide-org-facts,0.0,0.5329999999999999,0.467,im doing well! How about you? I have heard about it but would love to learn more about it,well heard would love learn,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",77
78,20180723-100855_385_live,0,2,Save the Children has a proven track record of using donations efficiently and effectively.,0,provide-org-facts,,provide-org-facts,0.0,0.532,0.46799999999999997,Wow! Thats awesome!,wow awesom,Save the Children has a proven track record of using donations efficiently and effectively.,78
79,20180723-100855_385_live,0,2,There are several children around us who are below poverty line and needed a helping hand.,9,emotion-appeal,,emotion-appeal,0.159,0.58,0.261,Wow! Thats awesome!,wow awesom,There are several children around us who are below poverty line and needed a helping hand.,79
80,20180723-100855_385_live,0,2,It would be great if you can make a contribution from your side for this venture.,6,logical-appeal,,logical-appeal,0.0,0.773,0.22699999999999998,Wow! Thats awesome!,wow awesom,It would be great if you can make a contribution from your side for this venture.,80
81,20180723-100855_385_live,0,3,It is a great relief that there are people like you who still cares.,4,praise-user,,non-strategy,0.0,0.415,0.585,I would love to help in anyway I can. I wish everyone was equally ok and I know that everybit counts,would love help anyway wish everyon equal ok know everybit count,It is a great relief that there are people like you who still cares.,81
82,20180723-100855_385_live,0,4,"Yes, it may be little as the price of a candy. But it still makes the ripple effect in many lives.",6,logical-appeal,,logical-appeal,0.0,0.9109999999999999,0.08900000000000001,Oh yeah! Many people should be like that,oh yeah mani peopl like,"Yes, it may be little as the price of a candy. But it still makes the ripple effect in many lives.",82
83,20180723-100855_385_live,0,5,"42% of their funding is from US. National, State & Local Govs, 20% from UN & Other Multi-Lateral Funding Institutions, 19% from Individuals like you and me, 11% from corporations, 7% from Foundations and 1% from other sources. You can get further details from  URL",0,provide-org-facts,,provide-org-facts,0.0,0.9440000000000001,0.055999999999999994,How many people are currently donating?,mani peopl current donat,"42% of their funding is from US. National, State & Local Govs, 20% from UN & Other Multi-Lateral Funding Institutions, 19% from Individuals like you and me, 11% from corporations, 7% from Foundations and 1% from other sources. You can get further details from  URL",83
84,20180723-100855_385_live,0,6,Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment.,3,provide-donation-procedure,,provide-donation-procedure,0.0,1.0,0.0,Oh OK! I will look into that. So what do I need to donate?,oh ok look need donat,Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment.,84
85,20180723-100855_385_live,0,7,How much do you like to donate to the charity now?,4,ask-donation-amount,,non-strategy,0.0,0.629,0.371,Ok cool! It's nice to know that people are donating to such a great cause,ok cool nice know peopl donat great caus,How much do you like to donate to the charity now?,85
86,20180723-100855_385_live,0,7,The research team will collect all donations and send it to Save the Children.,3,provide-donation-procedure,,provide-donation-procedure,0.0,0.802,0.198,Ok cool! It's nice to know that people are donating to such a great cause,ok cool nice know peopl donat great caus,The research team will collect all donations and send it to Save the Children.,86
87,20180723-100855_385_live,0,8,You can donate as little as you want. But it will make a huge difference for those in need.,7,foot-in-the-door,,foot-in-the-door,0.0,0.8009999999999999,0.19899999999999998,Unfortunately I can't donate anything right now,unfortun ca nt donat anyth right,You can donate as little as you want. But it will make a huge difference for those in need.,87
88,20180723-100855_385_live,0,9,That is very thoughtful of you.,4,praise-user,,non-strategy,0.0,0.633,0.36700000000000005,I will keep that in mind. When I get my next paycheck I will go to the website and donate. Thank you for filling me in on information regarding the charity,keep mind get next paycheck go websit donat thank fill inform regard chariti,That is very thoughtful of you.,88
89,20180723-100855_385_live,0,9,Appreciate your consideration of doing such an act for a greater course.,4,thank,,non-strategy,0.0,0.634,0.366,I will keep that in mind. When I get my next paycheck I will go to the website and donate. Thank you for filling me in on information regarding the charity,keep mind get next paycheck go websit donat thank fill inform regard chariti,Appreciate your consideration of doing such an act for a greater course.,89
91,20180808-015530_429_live,0,1,"Save the Children is an international non-governmental organization that promotes childrens rights, provides relief and helps support children in developing countries.",0,provide-org-facts,,provide-org-facts,0.0,0.5329999999999999,0.467,ok please do,ok pleas,"Save the Children is an international non-governmental organization that promotes childrens rights, provides relief and helps support children in developing countries.",91
92,20180808-015530_429_live,0,1,"Donations are extremely important in order for children to have their rights to healthcare, education, safety, etc If you were to donate you would be making a huge impact for these children and on the world",6,logical-appeal,,logical-appeal,0.0,0.816,0.184,ok please do,ok pleas,"Donations are extremely important in order for children to have their rights to healthcare, education, safety, etc If you were to donate you would be making a huge impact for these children and on the world",92
96,20180808-015530_429_live,0,4,0.50 cents would help so much but 0.60 would be even better.,4,ask-donate-more,,non-strategy,0.0,0.637,0.363,yes I confirm .50,yes confirm,0.50 cents would help so much but 0.60 would be even better.,96
97,20180808-015530_429_live,0,4,Millians of syrian children have grown up facing the threat of daily violence In 2018 1000 children were killed in violence,9,emotion-appeal,,emotion-appeal,0.486,0.514,0.0,yes I confirm .50,yes confirm,Millians of syrian children have grown up facing the threat of daily violence In 2018 1000 children were killed in violence,97
98,20180808-015530_429_live,0,4,A donation of 0.60 can address these problems,6,logical-appeal,,logical-appeal,0.31,0.69,0.0,yes I confirm .50,yes confirm,A donation of 0.60 can address these problems,98
101,20180808-015530_429_live,0,5,Dont you agree,2,task-related-inquiry,,task-related-inquiry,0.513,0.48700000000000004,0.0,ok .60 firm this time,ok    firm time,Dont you agree,101
102,20180808-015530_429_live,0,6,Ok you are correct.,4,acknowledgement,,non-strategy,0.0,0.5770000000000001,0.423,"Yes but that is a private issue between me and me, not you and me.",yes privat issu,Ok you are correct.,102
103,20180808-015530_429_live,0,6,IN 2018 alone 1000 children were reportedly killed or injured in violence. Most of these children have grown up facing the threat of daily violence.,9,emotion-appeal,,emotion-appeal,0.523,0.47700000000000004,0.0,"Yes but that is a private issue between me and me, not you and me.",yes privat issu,IN 2018 alone 1000 children were reportedly killed or injured in violence. Most of these children have grown up facing the threat of daily violence.,103
104,20180808-015530_429_live,0,6,YOu donation is going to help address these problems.,6,logical-appeal,,logical-appeal,0.218,0.565,0.218,"Yes but that is a private issue between me and me, not you and me.",yes privat issu,YOu donation is going to help address these problems.,104
106,20180808-015530_429_live,0,7,I also want to assure you that Save the Children Makes huge impact on childrens lives internationally. They are extremely professional and your donation will go to a trustable fund.,0,provide-org-facts,,provide-org-facts,0.0,0.648,0.35200000000000004,.60 still sounds good to me. Lets leave it at that.,   still sound good let leav,I also want to assure you that Save the Children Makes huge impact on childrens lives internationally. They are extremely professional and your donation will go to a trustable fund.,106
107,20180808-015530_429_live,0,7,SO one last time how much exactly would you like to donate to the charity now?,4,ask-donation-amount,,non-strategy,0.0,0.725,0.275,.60 still sounds good to me. Lets leave it at that.,   still sound good let leav,SO one last time how much exactly would you like to donate to the charity now?,107
108,20180808-015530_429_live,0,8,I simply want you to know what a great thing you are doing by donating and that your donation of 0.60 is going to help so many.,6,logical-appeal,,logical-appeal,0.0,0.731,0.26899999999999996,.60 firm. Pushiness does not make for a good salesperson.,   firm pushi make good salesperson,I simply want you to know what a great thing you are doing by donating and that your donation of 0.60 is going to help so many.,108
109,20180808-015530_429_live,0,8,The research team will collect all donations and send it to save the children ..,3,provide-donation-procedure,,provide-donation-procedure,0.0,0.8140000000000001,0.18600000000000003,.60 firm. Pushiness does not make for a good salesperson.,   firm pushi make good salesperson,The research team will collect all donations and send it to save the children ..,109
110,20180808-015530_429_live,0,8,Thank you again,4,thank,,non-strategy,0.0,0.444,0.556,.60 firm. Pushiness does not make for a good salesperson.,   firm pushi make good salesperson,Thank you again,110
111,20180808-015530_429_live,0,8,Your donation of 0.60 will be deducted from your task payment.,3,provide-donation-procedure,,provide-donation-procedure,0.0,1.0,0.0,.60 firm. Pushiness does not make for a good salesperson.,   firm pushi make good salesperson,Your donation of 0.60 will be deducted from your task payment.,111
113,20180808-015530_429_live,0,9,Have a great day,4,closing,,non-strategy,0.0,0.32799999999999996,0.672,Thank you and I do not want to be rude but I am straight talking person,thank rude straight talk person,Have a great day,113
114,20180808-024552_152_live,0,0,Hello how are you doing,4,greeting,,non-strategy,0.0,1.0,0.0,<Start>,start,Hello how are you doing,114
117,20180808-024552_152_live,0,2,They are a good group.,4,greeting,,non-strategy,0.0,0.508,0.49200000000000005,Can't say I have,ca nt say,They are a good group.,117
118,20180808-024552_152_live,0,2,Last week CNN talked about the genocides starting in syria,0,provide-org-facts,,provide-org-facts,0.0,1.0,0.0,Can't say I have,ca nt say,Last week CNN talked about the genocides starting in syria,118
119,20180808-024552_152_live,0,3,ESpecially since children are being specifically targeted for rape and torture. Some are being sold to ISIS,9,emotion-appeal,,emotion-appeal,0.364,0.636,0.0,That doesnt sound very good,nt sound good,ESpecially since children are being specifically targeted for rape and torture. Some are being sold to ISIS,119
121,20180808-024552_152_live,0,4,"Save the Children, the organization i mentioned before has been helping out a lot in the region. They have been saving 250 kids/week. They want to do more but lack funding",0,provide-org-facts,,provide-org-facts,0.10099999999999999,0.753,0.146,Always with ISIS. Why can't people just help each other out?,alway isi ca nt peopl help,"Save the Children, the organization i mentioned before has been helping out a lot in the region. They have been saving 250 kids/week. They want to do more but lack funding",121
122,20180808-024552_152_live,0,5,"True, but nothing and something are pretty different things. Especially to a kid that is facing a future as a sex slave.",9,emotion-appeal,,emotion-appeal,0.0,0.733,0.267,"I think lack of funds is always a moot point, because there's never enough",think lack fund alway moot point never enough,"True, but nothing and something are pretty different things. Especially to a kid that is facing a future as a sex slave.",122
123,20180808-024552_152_live,0,5,I donated a couple bucks last week.,10,example-donation,,example-donation,0.0,1.0,0.0,"I think lack of funds is always a moot point, because there's never enough",think lack fund alway moot point never enough,I donated a couple bucks last week.,123
124,20180808-024552_152_live,0,6,"That's true, not everyone has the means to give.",4,acknowledgement,,non-strategy,0.0,0.741,0.259,"Fair enough, but not everyone has the means to give",fair enough everyon mean give,"That's true, not everyone has the means to give.",124
125,20180808-024552_152_live,0,6,But I think most can donate a dollar,7,foot-in-the-door,,foot-in-the-door,0.0,1.0,0.0,"Fair enough, but not everyone has the means to give",fair enough everyon mean give,But I think most can donate a dollar,125
128,20180808-024552_152_live,0,9,"I think you sell people short, especially since we are talking about numbers in a table. People can see where the numbers go. I'm not sure what 'legalese' you refer to. And these statements are not summaries. They detail how every dollar is spent, as required by law.  =)",6,logical-appeal,,logical-appeal,0.039,0.897,0.064,"Maybe, but financial statements are always ""summaries"" and not everyone is fluent in legalese",mayb financi statement alway summari everyon fluent legales,"I think you sell people short, especially since we are talking about numbers in a table. People can see where the numbers go. I'm not sure what 'legalese' you refer to. And these statements are not summaries. They detail how every dollar is spent, as required by law.  =)",128
129,20180808-024552_152_live,0,9,How much are you going to donate?,4,ask-donation-amount,,non-strategy,0.0,1.0,0.0,"Maybe, but financial statements are always ""summaries"" and not everyone is fluent in legalese",mayb financi statement alway summari everyon fluent legales,How much are you going to donate?,129
130,20180808-035431_488_live,0,0,"Hello, how are you today?",4,greeting,,non-strategy,0.0,1.0,0.0,<Start>,start,"Hello, how are you today?",130
131,20180808-035431_488_live,0,1,"I like to donate, but i have a soft heart for children too. I recently read about ""Save the Children"" and red more about it.",4,neutral-to-inquiry,,non-strategy,0.0,0.758,0.242,I'm good. What Children's charity would you like to donate money to?,good children chariti would like donat money,"I like to donate, but i have a soft heart for children too. I recently read about ""Save the Children"" and red more about it.",131
132,20180808-035431_488_live,0,2,Yes I like how they are clear about their financial reports and They are a big organization,0,provide-org-facts,,provide-org-facts,0.0,0.606,0.39399999999999996,Save the Children sounds like a good charity to me as well.,save children sound like good chariti well,Yes I like how they are clear about their financial reports and They are a big organization,132
133,20180808-035431_488_live,0,3,"Yes they work in 120 different countries, on different issues.",0,provide-org-facts,,provide-org-facts,0.0,0.769,0.231,Clear financial reports are a very good thing. They work with children all around the world. Correct?,clear financi report good thing work children around world correct,"Yes they work in 120 different countries, on different issues.",133
134,20180808-035431_488_live,0,4,"Same here, they have many option to help, We can donate or We can participate in their events",6,logical-appeal,,logical-appeal,0.0,0.863,0.13699999999999998,"Wow, that's amazing. Definitely a charity that I could stand behind and support.",wow amaz definit chariti could stand behind support,"Same here, they have many option to help, We can donate or We can participate in their events",134
135,20180808-035431_488_live,0,5,Some of their members even travel to different countries to help in person.,0,provide-org-facts,,provide-org-facts,0.0,0.816,0.184,I don't know much about their events. But I have money that I can donate.,nt know much event money donat,Some of their members even travel to different countries to help in person.,135
